polled_at,market_a,price_a,market_b,price_b,fillable_size_dollars,fillable_size_basis,leg_a_fetch_ok,leg_b_fetch_ok
2026-09-11T15:11:53.919679+00:00,KXHIGHTATL-26SEP11-T89,0.18,,,48.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:13:54.087051+00:00,KXHIGHTATL-26SEP11-T89,0.2,,,50.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:15:54.214537+00:00,KXHIGHTATL-26SEP11-T89,0.21,,,32.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:17:54.335505+00:00,KXHIGHTATL-26SEP11-T89,0.2,,,78.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:19:50.755251+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,36.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:21:50.895459+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,32.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:23:51.021648+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,33.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:25:51.123615+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,11.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:27:51.245494+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,9.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:29:51.380891+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,10.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:31:51.532060+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,12.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:33:51.659426+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,33.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:35:51.800936+00:00,KXHIGHTATL-26SEP11-T89,0.19,,,3.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:37:51.901463+00:00,KXHIGHTATL-26SEP11-T89,0.22,,,23.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:39:52.011709+00:00,KXHIGHTATL-26SEP11-T89,0.22,,,54.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:41:52.127663+00:00,KXHIGHTATL-26SEP11-T89,0.22,,,17.81,kalshi_real_order_book_size_field_single_leg,True,
