platform,source_market_id,event_id,title,category,yes_bid,yes_ask,no_bid,no_ask,volume,liquidity,close_time,status,pulled_at
kalshi,KXMLBSPREAD-26SEP041410DETCLEG1-DET5,KXMLBSPREAD-26SEP041410DETCLEG1,Detroit wins by over 4.5 runs?,,0.19,0.38,0.62,0.81,50.84,0.0,2026-09-07T18:10:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXSERIEATEAMTOTAL-26SEP04GENCOM-COM5,KXSERIEATEAMTOTAL-26SEP04GENCOM,Will Como score over 4.5 goals?,,0.09,0.31,0.69,0.91,0.0,0.0,2026-09-07T00:45:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXMLBTOTAL-26SEP041410DETCLEG1-14,KXMLBTOTAL-26SEP041410DETCLEG1,Over 13.5 runs scored,,0.34,0.47,0.53,0.66,3242.83,0.0,2026-09-07T18:10:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXSVNPLTOTAL-26SEP04NAFRAD-7,KXSVNPLTOTAL-26SEP04NAFRAD,Will over 6.5 goals be scored?,,0.01,0.99,0.01,0.99,0.0,0.0,2026-09-07T00:15:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXEERSTEDIVTOTAL-26SEP04WAABRE-7,KXEERSTEDIVTOTAL-26SEP04WAABRE,Will over 6.5 goals be scored?,,0.04,0.98,0.02,0.96,0.0,0.0,2026-09-07T00:00:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXEERSTEDIVSPREAD-26SEP04EMMVOL-EMM4,KXEERSTEDIVSPREAD-26SEP04EMMVOL,Emmen wins by more than 3.5 goals?,,0.02,0.98,0.02,0.98,0.0,0.0,2026-09-07T00:00:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXCS2MAP-26SEP051330ENRESB-2-ESB,KXCS2MAP-26SEP051330ENRESB-2,eSuba wins map 2,,0.01,0.88,0.12,0.99,0.0,0.0,2026-09-07T17:30:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXCS2MAP-26SEP051330ENRESB-2-ENR,KXCS2MAP-26SEP051330ENRESB-2,ENRAGE wins map 2,,0.01,0.88,0.12,0.99,0.0,0.0,2026-09-07T17:30:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXCS2MAP-26SEP051330ENRESB-1-ESB,KXCS2MAP-26SEP051330ENRESB-1,eSuba wins map 1,,0.01,0.88,0.12,0.99,0.0,0.0,2026-09-07T17:30:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXCS2MAP-26SEP051330ENRESB-1-ENR,KXCS2MAP-26SEP051330ENRESB-1,ENRAGE wins map 1,,0.01,0.88,0.12,0.99,0.0,0.0,2026-09-07T17:30:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXCS2MAP-26SEP051330DRAMANEX-2-NEX,KXCS2MAP-26SEP051330DRAMANEX-2,NEXORA wins map 2,,0.01,0.88,0.12,0.99,0.0,0.0,2026-09-07T17:30:00Z,active,2026-09-04T19:35:19.368434+00:00
kalshi,KXCS2MAP-26SEP051330DRAMANEX-2-DRAMA,KXCS2MAP-26SEP051330DRAMANEX-2,Drama eSports wins map 2,,0.01,0.88,0.12,0.99,0.0,0.0,2026-09-07T17:30:00Z,active,2026-09-04T19:35:19.368434+00:00
