flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,venue,race_id,party,tier,state,chamber,district,candidate_name,hours_to_resolution,electindex_prob,edge_vs_electindex
kalshi|STATE-LEG-CA-SENATE-26|DEM,politics,dem,2026-09-09T12:06:41Z,0.9233,0.84,0.0833,False,,,,2026-09-26T17:24:35Z,0.84,open,,,,,kalshi,STATE-LEG-CA-SENATE-26,DEM,Elections - State Legislature District,CA,Senate,26,Sara Hernandez,1307.9,0.98,-0.0567
kalshi|STATE-LEG-MD-SENATE-2|REP,politics,rep,2026-09-09T12:06:41Z,0.982,0.935,0.047,False,,,,2026-09-26T17:24:35Z,0.93,open,,,,,kalshi,STATE-LEG-MD-SENATE-2,REP,Elections - State Legislature District,MD,Senate,2,Paul Corderman,1307.9,0.9088,0.0732
kalshi|STATE-LEG-MO-SENATE-30|REP,politics,rep,2026-09-09T12:06:41Z,0.7302,0.66,0.0702,False,,,,2026-09-26T17:24:35Z,0.1,open,,,,,kalshi,STATE-LEG-MO-SENATE-30,REP,Elections - State Legislature District,MO,Senate,30,Melanie Stinnett,1307.9,0.4851,0.2451
kalshi|STATE-LEG-MO-SENATE-8|REP,politics,rep,2026-09-09T12:06:41Z,0.8387,0.75,0.0887,False,,,,2026-09-26T17:24:35Z,0.705,open,,,,,kalshi,STATE-LEG-MO-SENATE-8,REP,Elections - State Legislature District,MO,Senate,8,Jon Patterson,1307.9,0.5983,0.2404
polymarket|US-HOUSE-AL-01|REP,politics,rep,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-AL-01,REP,Elections - US House District,AL,,1,Will the Republican Party win the AL-01 House seat?,1307.9,0.997,-0.0108
polymarket|US-HOUSE-AL-02|REP,politics,rep,2026-09-09T12:06:41Z,0.7687,0.69,0.0787,False,,,,2026-09-26T17:24:35Z,0.69,open,,,,,polymarket,US-HOUSE-AL-02,REP,Elections - US House District,AL,,2,Will the Republican Party win the AL-02 House seat?,1307.9,0.596,0.1727
polymarket|US-HOUSE-AL-03|REP,politics,rep,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-AL-03,REP,Elections - US House District,AL,,3,Will the Republican Party win the AL-03 House seat?,1307.9,1.0,-0.0138
polymarket|US-HOUSE-AL-05|REP,politics,rep,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-AL-05,REP,Elections - US House District,AL,,5,Will the Republican Party win the AL-05 House seat?,1307.9,0.988,-0.0018
polymarket|US-HOUSE-AL-06|REP,politics,rep,2026-09-09T12:06:41Z,0.9842,0.94,0.0442,False,,,,2026-09-26T17:24:35Z,0.94,open,,,,,polymarket,US-HOUSE-AL-06,REP,Elections - US House District,AL,,6,Will the Republican Party win the AL-06 House seat?,1307.9,0.999,-0.0148
polymarket|US-HOUSE-AL-07|DEM,politics,dem,2026-09-09T12:06:41Z,0.9921,0.9615,0.0306,False,,,,2026-09-26T17:24:35Z,0.9615,open,,,,,polymarket,US-HOUSE-AL-07,DEM,Elections - US House District,AL,,7,Will the Democratic Party win the AL-07 House seat?,1307.9,1.0,-0.0079
