race_id,tier,state,chamber,district,party,candidate_name,electindex_prob,electindex_model_status,hours_to_resolution,kalshi_raw_price_dem,kalshi_raw_price_rep,kalshi_corrected_prob_dem,kalshi_corrected_prob_rep,kalshi_slope_used_dem,kalshi_slope_used_rep,kalshi_edge_vs_raw_dem,kalshi_edge_vs_raw_rep,kalshi_edge_vs_electindex_dem,kalshi_edge_vs_electindex_rep,kalshi_model_status_dem,kalshi_model_status_rep,polymarket_raw_price_dem,polymarket_raw_price_rep,polymarket_corrected_prob_dem,polymarket_corrected_prob_rep,polymarket_slope_used_dem,polymarket_slope_used_rep,polymarket_edge_vs_raw_dem,polymarket_edge_vs_raw_rep,polymarket_edge_vs_electindex_dem,polymarket_edge_vs_electindex_rep,polymarket_model_status_dem,polymarket_model_status_rep
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,DEM,Sara Hernandez,0.98,estimated,1206.9,0.84,,0.9233,,1.5007,,0.0833,,-0.0567,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,REP,,0.02,estimated,1206.9,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,DEM,Eric Van Buren,0.0934,estimated,1206.9,0.04,,0.0084,,1.5007,,-0.0316,,-0.085,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,REP,Paul Corderman,0.9066,estimated,1206.9,,0.945,,0.9862,,1.5007,,0.0412,,0.0796,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,DEM,Betsy Fogle,0.5241,estimated,1206.9,0.84,,0.9233,,1.5007,,0.0833,,0.3992,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,REP,Melanie Stinnett,0.4759,estimated,1206.9,,0.155,,0.0728,,1.5007,,-0.0822,,-0.4031,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,DEM,Keri Ingle,0.4104,estimated,1206.9,0.31,,0.2313,,1.5007,,-0.0787,,-0.1791,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,REP,Jon Patterson,0.5896,estimated,1206.9,,0.72,,0.8049,,1.5007,,0.0849,,0.2153,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,DEM,Brandon Dukes,0.6232,estimated,1206.9,0.525,,0.5375,,1.5007,,0.0125,,-0.0857,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,REP,Scott Timko,0.3768,estimated,1206.9,,0.485,,0.4775,,1.5007,,-0.0075,,0.1007,,estimated,,,,,,,,,,,,no_market_price
