race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.76,87.0,13.0,Likely D,-13.27,5.3,-9.03,0.0,0.0,-1.06,-13.8,4.76,True,False,,4,Jonathan Kreiss-Tomkins,10.81,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.48,54.52,0.0,107545,128901,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.45,2.8,97.2,Safe R,-29.66,5.3,-21.47,0.0,3.37,-0.48,-30.88,11.43,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.27,59.73,0.0,638585,946978,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.48,1.7,98.3,Safe R,-30.62,5.3,-25.95,0.0,-0.13,-0.51,-31.57,10.09,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.26,60.74,0.0,329591,509865,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.67,80.5,19.5,Likely D,-4.25,5.3,8.36,0.94,6.01,0.36,-5.59,14.26,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,9.36,0.309,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.33,45.67,0.0,1289079,1083444,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.83,99.7,0.3,Safe D,23.42,5.3,29.86,0.25,0.0,0.89,20.82,7.01,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.218,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.91,36.09,0.0,7093626,4004918,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.81,96.0,4.0,Safe D,11.48,5.3,17.4,0.64,0.0,-0.01,11.29,6.52,False,False,IND,0,,0.0,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.78,39.62,0.0,1269074,885390,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.2,97.1,2.9,Safe D,15.88,5.3,20.07,0.0,-1.03,-0.09,14.76,4.44,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.91,34.49,3,16.43,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6,40.4,0.0,733768,497372,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.43,26.1,73.9,Lean R,-10.43,5.3,-7.25,-2.16,-0.47,0.51,-13.22,6.79,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,17,-4.38,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.78,53.22,0.0,3581181,4073645,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.99,58.0,42.0,Toss-up,-1.84,5.3,1.08,-2.26,0.0,-0.12,-2.21,4.19,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.264,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.99,49.01,0.0,1874014,1801032,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.23,99.9,0.1,Safe D,25.72,5.3,32.23,0.0,1.67,-0.46,23.56,8.67,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.11,33.89,0.0,239131,122560,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.07,69.3,30.7,Lean D,-12.13,5.3,5.38,2.06,10.86,-0.71,-13.45,18.51,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.12,44.77,8,4.37,0.31,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.53,47.47,0.0,611732,552722,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-41.99,0.0,100.0,Safe R,-36.27,5.3,-45.65,-1.82,-12.37,-0.49,-37.52,-4.47,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,29.0,50.5,1,-24.5,0.173,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,71.0,0.0,183756,449787,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.07,97.6,2.4,Safe D,12.91,5.3,20.03,1.84,-0.02,0.0,11.14,8.93,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03,39.97,0.0,2374180,1580556,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-9.37,17.6,82.4,Likely R,-16.42,5.3,-11.55,0.0,0.0,-0.43,-16.41,7.05,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.0,46.0,1,-2.0,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.32,54.68,0.0,421138,508176,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.78,99.9,0.1,Safe D,27.8,5.3,33.88,0.0,1.13,-0.34,25.91,4.87,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,53.37,31.99,8,21.37,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.39,34.61,0.0,1590036,841532,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.25,100.0,0.0,Safe D,30.37,5.3,39.02,0.0,3.43,-0.08,29.51,6.74,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.13,31.87,0.0,1448914,677920,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.57,87.5,12.5,Likely D,7.36,5.3,11.69,0.0,0.0,-0.97,7.09,4.48,False,False,IND,0,,0.0,Rick Bennett,5.69,0.0,,,0.0,confirmed,confirmed,50.81,38.39,4,12.42,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.61,41.7,0.0,306176,242673,0,33114,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.31,88.9,11.1,Likely D,-0.43,5.3,14.43,0.21,9.97,-0.63,-1.44,13.75,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.21,42.16,24,7.37,0.3,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.15,43.85,0.0,2226106,1738156,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,11.76,87.8,12.2,Likely D,4.83,5.3,10.86,1.57,-0.12,-0.72,4.34,7.41,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,51.72,36.25,4,15.46,0.195,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.88,44.12,0.0,1272776,1004968,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-17.64,4.1,95.9,Safe R,-20.91,5.3,-19.34,0.0,-3.25,-0.48,-20.84,3.2,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-8.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18,58.82,0.0,273033,389978,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.2,11.3,88.7,Likely R,3.63,5.3,-13.11,-1.39,-19.79,-0.86,2.82,-15.02,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,38.47,47.97,6,-9.5,0.253,908163,6079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,56.1,0.0,253891,324441,0,0,578332
