flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,resolved_stat_key,line,game_id,game_start_time,implied_prob_includes_field_vig
fanduel|99952803,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.169368208,99952803,Aaron Rodgers,,NFL,Passing Yards,player_performance,passing_yards,3050.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98948304,props,over,2026-09-09T17:34:29Z,0.9324,0.5,0.4324,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.16681609,98948304,Brock Purdy,,NFL,Passing Yards,player_performance,passing_yards,3700.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|101468537,props,over,2026-09-09T17:34:29Z,0.9996,0.5,0.4996,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166818884,101468537,Bryce Young,,NFL,Passing Yards,player_performance,passing_yards,2875.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102401539,props,over,2026-09-09T17:34:29Z,0.9451,0.5,0.4451,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166818153,102401539,C.J. Stroud,,NFL,Passing Yards,player_performance,passing_yards,3500.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102392662,props,over,2026-09-09T17:34:29Z,0.9998,0.5,0.4998,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.179750582,102392662,Daniel Jones,,NFL,Passing Yards,player_performance,passing_yards,3250.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98948331,props,over,2026-09-09T17:34:29Z,0.9998,0.5,0.4998,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166883487,98948331,Jalen Hurts,,NFL,Passing Yards,player_performance,passing_yards,3150.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|97984775,props,under,2026-09-09T17:34:29Z,0.9647,0.5,0.4647,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166817406,97984775,Jaxson Dart,,NFL,Passing Yards,player_performance,passing_yards,3100.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98948526,props,under,2026-09-09T17:34:29Z,0.9988,0.5,0.4988,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166813367,98948526,Jayden Daniels,,NFL,Passing Yards,player_performance,passing_yards,3200.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100252260,props,over,2026-09-09T17:34:29Z,0.9999,0.5,0.4999,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166814834,100252260,Josh Allen,,NFL,Passing Yards,player_performance,passing_yards,3600.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102301001,props,over,2026-09-09T17:34:29Z,0.6601,0.5,0.1601,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166817887,102301001,Jordan Love,,NFL,Passing Yards,player_performance,passing_yards,3700.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98240844,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166817472,98240844,Justin Herbert,,NFL,Passing Yards,player_performance,passing_yards,3600.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99171616,props,over,2026-09-09T17:34:29Z,0.8061,0.5,0.3061,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166817335,99171616,Lamar Jackson,,NFL,Passing Yards,player_performance,passing_yards,3200.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|101808022,props,over,2026-09-09T17:34:29Z,0.9973,0.5,0.4973,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.166817756,101808022,Tyler Shough,,NFL,Passing Yards,player_performance,passing_yards,3400.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99171620,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167902374,99171620,Breece Hall,,NFL,Rushing Yards,player_performance,rushing_yards,900.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99153350,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167903059,99153350,D'Andre Swift,,NFL,Rushing Yards,player_performance,rushing_yards,800.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99965603,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167899072,99965603,De'Von Achane,,NFL,Rushing Yards,player_performance,rushing_yards,975.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98228114,props,over,2026-09-09T17:34:29Z,0.8195,0.5,0.3195,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167903882,98228114,Jalen Hurts,,NFL,Rushing Yards,player_performance,rushing_yards,425.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100252251,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.16790072,100252251,Javonte Williams,,NFL,Rushing Yards,player_performance,rushing_yards,950.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100993965,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173552945,100993965,Jaylen Warren,,NFL,Rushing Yards,player_performance,rushing_yards,625.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100958530,props,over,2026-09-09T17:34:29Z,0.9956,0.5,0.4956,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.16790421,100958530,Jaxson Dart,,NFL,Rushing Yards,player_performance,rushing_yards,475.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99811594,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173551451,99811594,J.K. Dobbins,,NFL,Rushing Yards,player_performance,rushing_yards,700.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98241183,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167903722,98241183,Josh Allen,,NFL,Rushing Yards,player_performance,rushing_yards,500.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100970787,props,under,2026-09-09T17:34:29Z,0.9997,0.5,0.4997,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167903527,100970787,Lamar Jackson,,NFL,Rushing Yards,player_performance,rushing_yards,550.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|101978806,props,over,2026-09-09T17:34:29Z,0.9192,0.5,0.4192,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173551269,101978806,Quinshon Judkins,,NFL,Rushing Yards,player_performance,rushing_yards,850.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102600784,props,over,2026-09-09T17:34:29Z,0.997,0.5,0.497,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173552008,102600784,Rhamondre Stevenson,,NFL,Rushing Yards,player_performance,rushing_yards,675.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99983944,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.167888413,99983944,Saquon Barkley,,NFL,Rushing Yards,player_performance,rushing_yards,1050.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102245252,props,over,2026-09-09T17:34:29Z,0.7123,0.5,0.2123,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.171356914,102245252,A.J. Brown,,NFL,Receiving Yards,player_performance,receiving_yards,1125.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100861633,props,under,2026-09-09T17:34:29Z,0.7533,0.5,0.2533,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168921983,100861633,Brock Bowers,,NFL,Receiving Yards,player_performance,receiving_yards,925.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99983892,props,over,2026-09-09T17:34:29Z,0.81,0.5,0.31,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168917318,99983892,CeeDee Lamb,,NFL,Receiving Yards,player_performance,receiving_yards,1200.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98467741,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168917788,98467741,Chris Olave,,NFL,Receiving Yards,player_performance,receiving_yards,1050.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102304878,props,over,2026-09-09T17:34:29Z,0.9993,0.5,0.4993,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.16892165,102304878,Christian Watson,,NFL,Receiving Yards,player_performance,receiving_yards,825.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102089043,props,under,2026-09-09T17:34:29Z,0.8966,0.5,0.3966,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168924599,102089043,Colston Loveland,,NFL,Receiving Yards,player_performance,receiving_yards,825.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102441629,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168920564,102441629,Davante Adams,,NFL,Receiving Yards,player_performance,receiving_yards,750.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98467861,props,over,2026-09-09T17:34:29Z,0.8379,0.5,0.3379,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168917991,98467861,Drake London,,NFL,Receiving Yards,player_performance,receiving_yards,1100.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100630901,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173478939,100630901,George Kittle,,NFL,Receiving Yards,player_performance,receiving_yards,700.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98467989,props,under,2026-09-09T17:34:29Z,0.98,0.5,0.48,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168919882,98467989,Garrett Wilson,,NFL,Receiving Yards,player_performance,receiving_yards,975.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99983884,props,over,2026-09-09T17:34:29Z,0.9999,0.5,0.4999,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168916865,99983884,Ja'Marr Chase,,NFL,Receiving Yards,player_performance,receiving_yards,1325.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100861626,props,over,2026-09-09T17:34:29Z,0.7023,0.5,0.2023,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168921395,100861626,Jaylen Waddle,,NFL,Receiving Yards,player_performance,receiving_yards,925.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100731539,props,under,2026-09-09T17:34:29Z,0.9961,0.5,0.4961,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168921057,100731539,Ladd McConkey,,NFL,Receiving Yards,player_performance,receiving_yards,900.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98468425,props,under,2026-09-09T17:34:29Z,0.7554,0.5,0.2554,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168923797,98468425,Marvin Harrison Jr.,,NFL,Receiving Yards,player_performance,receiving_yards,800.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99787353,props,under,2026-09-09T17:34:29Z,0.61,0.5,0.11,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173479739,99787353,Mike Evans,,NFL,Receiving Yards,player_performance,receiving_yards,775.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98663740,props,over,2026-09-09T17:34:29Z,0.6266,0.5,0.1266,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.16891971,98663740,Malik Nabers,,NFL,Receiving Yards,player_performance,receiving_yards,925.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102052697,props,over,2026-09-09T17:34:29Z,0.9942,0.5,0.4942,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168917689,102052697,Nico Collins,,NFL,Receiving Yards,player_performance,receiving_yards,1150.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102441625,props,over,2026-09-09T17:34:29Z,1.0,0.5,0.5,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168913142,102441625,Puka Nacua,,NFL,Receiving Yards,player_performance,receiving_yards,1325.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98516979,props,over,2026-09-09T17:34:29Z,0.6483,0.5,0.1483,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168923606,98516979,Rome Odunze,,NFL,Receiving Yards,player_performance,receiving_yards,800.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99787478,props,over,2026-09-09T17:34:29Z,0.9999,0.5,0.4999,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173482134,99787478,Sam LaPorta,,NFL,Receiving Yards,player_performance,receiving_yards,650.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|102089548,props,over,2026-09-09T17:34:29Z,0.9545,0.5,0.4545,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.168920015,102089548,Tee Higgins,,NFL,Receiving Yards,player_performance,receiving_yards,900.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|99787247,props,over,2026-09-09T17:34:29Z,0.9577,0.5,0.4577,False,,,,2026-09-09T22:51:56Z,0.5,open,,,,,fanduel,28297422,751.173479237,99787247,Terry McLaurin,,NFL,Receiving Yards,player_performance,receiving_yards,900.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98496714,props,over,2026-09-09T17:34:29Z,0.9916,0.4858,0.5058,False,,,,2026-09-09T22:51:56Z,0.485816177662506,open,,,,,fanduel,28297422,751.169049315,98496714,Brock Purdy,,NFL,Passing TDs,player_performance,passing_tds,27.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98506671,props,over,2026-09-09T17:34:29Z,0.9997,0.4858,0.5139,False,,,,2026-09-09T22:51:56Z,0.485816177662506,open,,,,,fanduel,28297422,751.16906004,98506671,Bryce Young,,NFL,Passing TDs,player_performance,passing_tds,20.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98497299,props,over,2026-09-09T17:34:29Z,0.6868,0.5142,0.1726,False,,,,2026-09-09T22:51:56Z,0.5141838223374939,open,,,,,fanduel,28297422,751.169059755,98497299,C.J. Stroud,,NFL,Passing TDs,player_performance,passing_tds,22.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|101396948,props,over,2026-09-09T17:34:29Z,0.9992,0.5379,0.4613,False,,,,2026-09-09T22:51:56Z,0.5379072681704261,open,,,,,fanduel,28297422,751.179751031,101396948,Daniel Jones,,NFL,Passing TDs,player_performance,passing_tds,18.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|100215516,props,over,2026-09-09T17:34:29Z,1.0,0.5142,0.4858,False,,,,2026-09-09T22:51:56Z,0.5141838223374939,open,,,,,fanduel,28297422,751.16905949,100215516,Jalen Hurts,,NFL,Passing TDs,player_performance,passing_tds,21.5,28297422,2030-12-01T18:00:00.000Z,False
fanduel|98498215,props,under,2026-09-09T17:34:29Z,0.7978,0.5142,0.2836,False,,,,2026-09-09T22:51:56Z,0.5141838223374939,open,,,,,fanduel,28297422,751.169065651,98498215,Jaxson Dart,,NFL,Passing TDs,player_performance,passing_tds,19.5,28297422,2030-12-01T18:00:00.000Z,False
