series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXHIGHTPHX,KXHIGHTPHX-26SEP20-T99,Phoenix High Temperature Daily,KPHX,2026-09-20,less,,99.0,0.0,0.01,0.99,1.0,max,102.0,0,1.84,real_measured,0.0515,estimated,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP20-T106,Phoenix High Temperature Daily,KPHX,2026-09-20,greater,106.0,,0.0,0.01,0.99,1.0,max,102.0,0,1.84,real_measured,0.0149,estimated,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP20-B99.5,Phoenix High Temperature Daily,KPHX,2026-09-20,between,99.0,100.0,0.06,0.07,0.93,0.94,max,102.0,0,1.84,real_measured,0.087,estimated,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP20-B105.5,Phoenix High Temperature Daily,KPHX,2026-09-20,between,105.0,106.0,0.03,0.04,0.96,0.97,max,102.0,0,1.84,real_measured,0.0367,estimated,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP20-B103.5,Phoenix High Temperature Daily,KPHX,2026-09-20,between,103.0,104.0,0.35,0.36,0.64,0.65,max,102.0,0,1.84,real_measured,0.1549,estimated,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP20-B101.5,Phoenix High Temperature Daily,KPHX,2026-09-20,between,101.0,102.0,0.57,0.59,0.41,0.43,max,102.0,0,1.84,real_measured,0.2066,estimated,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP19-T99,Phoenix High Temperature Daily,KPHX,2026-09-19,less,,99.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP19-T106,Phoenix High Temperature Daily,KPHX,2026-09-19,greater,106.0,,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP19-B99.5,Phoenix High Temperature Daily,KPHX,2026-09-19,between,99.0,100.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP19-B105.5,Phoenix High Temperature Daily,KPHX,2026-09-19,between,105.0,106.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP19-B103.5,Phoenix High Temperature Daily,KPHX,2026-09-19,between,103.0,104.0,0.99,1.0,0.0,0.01,max,,-1,,,,target_date_passed,2026-09-20T01:07:02.251054+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP19-B101.5,Phoenix High Temperature Daily,KPHX,2026-09-19,between,101.0,102.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-20T01:07:02.251054+00:00
