series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXHIGHTATL,KXHIGHTATL-26SEP07-T90,Atlanta Max Temperature,KATL,2026-09-07,greater,90.0,,0.0,0.01,0.99,1.0,max,97.0,0,2.23,literature_placeholder,0.9991,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTATL,KXHIGHTATL-26SEP07-T83,Atlanta Max Temperature,KATL,2026-09-07,less,,83.0,0.05,0.06,0.94,0.95,max,97.0,0,2.23,literature_placeholder,0.0,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTATL,KXHIGHTATL-26SEP07-B89.5,Atlanta Max Temperature,KATL,2026-09-07,between,89.0,90.0,0.02,0.03,0.97,0.98,max,97.0,0,2.23,literature_placeholder,0.0007,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTATL,KXHIGHTATL-26SEP07-B87.5,Atlanta Max Temperature,KATL,2026-09-07,between,87.0,88.0,0.15,0.19,0.81,0.85,max,97.0,0,2.23,literature_placeholder,0.0,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTATL,KXHIGHTATL-26SEP07-B85.5,Atlanta Max Temperature,KATL,2026-09-07,between,85.0,86.0,0.46,0.47,0.53,0.54,max,97.0,0,2.23,literature_placeholder,0.0,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTATL,KXHIGHTATL-26SEP07-B83.5,Atlanta Max Temperature,KATL,2026-09-07,between,83.0,84.0,0.34,0.35,0.65,0.66,max,97.0,0,2.23,literature_placeholder,0.0,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHPHIL,KXHIGHPHIL-26SEP07-T85,Highest temperature in Philadelphia,KPHL,2026-09-07,greater,85.0,,0.0,0.01,0.99,1.0,max,81.0,0,2.23,literature_placeholder,0.0365,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHPHIL,KXHIGHPHIL-26SEP07-T78,Highest temperature in Philadelphia,KPHL,2026-09-07,less,,78.0,0.0,0.01,0.99,1.0,max,81.0,0,2.23,literature_placeholder,0.0894,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHPHIL,KXHIGHPHIL-26SEP07-B84.5,Highest temperature in Philadelphia,KPHL,2026-09-07,between,84.0,85.0,0.05,0.07,0.93,0.95,max,81.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHPHIL,KXHIGHPHIL-26SEP07-B82.5,Highest temperature in Philadelphia,KPHL,2026-09-07,between,82.0,83.0,0.48,0.49,0.51,0.52,max,81.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
