series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXLOWTEWR,KXLOWTEWR-26SEP21-T61,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-21,greater,61.0,,The Weather Company,https://weather.com/kalshi,0.18,0.36,0.64,0.82,5.0,5.0,25.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP21-T54,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-21,less,,54.0,The Weather Company,https://weather.com/kalshi,0.01,0.1,0.9,0.99,25.0,30.0,0.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP21-B60.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-21,between,60.0,61.0,The Weather Company,https://weather.com/kalshi,0.23,0.41,0.59,0.77,5.0,5.0,0.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP21-B58.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-21,between,58.0,59.0,The Weather Company,https://weather.com/kalshi,0.16,0.31,0.69,0.84,10.0,25.0,15.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP21-B56.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-21,between,56.0,57.0,The Weather Company,https://weather.com/kalshi,0.04,0.22,0.78,0.96,5.0,5.0,0.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP21-B54.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-21,between,54.0,55.0,The Weather Company,https://weather.com/kalshi,0.01,0.11,0.89,0.99,25.0,80.0,0.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP20-T63,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-20,greater,63.0,,The Weather Company,https://weather.com/kalshi,0.94,0.99,0.01,0.06,150.0,50.0,435.57,0.0,2026-09-21T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP20-T56,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-20,less,,56.0,The Weather Company,https://weather.com/kalshi,0.0,0.07,0.93,1.0,22.0,0.0,57.0,0.0,2026-09-21T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP20-B62.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-20,between,62.0,63.0,The Weather Company,https://weather.com/kalshi,0.01,0.04,0.96,0.99,50.0,230.0,29.0,0.0,2026-09-21T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP20-B60.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-20,between,60.0,61.0,The Weather Company,https://weather.com/kalshi,0.0,0.1,0.9,1.0,25.0,0.0,59.0,0.0,2026-09-21T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP20-B58.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-20,between,58.0,59.0,The Weather Company,https://weather.com/kalshi,0.0,0.1,0.9,1.0,25.0,0.0,59.0,0.0,2026-09-21T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTEWR,KXLOWTEWR-26SEP20-B56.5,"Newark, NJ (EWR) Daily Low Temp",KEWR,2026-09-20,between,56.0,57.0,The Weather Company,https://weather.com/kalshi,0.0,0.09,0.91,1.0,25.0,0.0,69.09,0.0,2026-09-21T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP21-T96,San Antonio Daily Maximum Temperature,KSAT,2026-09-21,less,,96.0,The Weather Company,https://weather.com/kalshi,0.36,0.44,0.56,0.64,6.0,50.0,31.0,0.0,2026-09-22T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP21-T103,San Antonio Daily Maximum Temperature,KSAT,2026-09-21,greater,103.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,56.0,0.0,192.0,0.0,2026-09-22T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP21-B98.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-21,between,98.0,99.0,The Weather Company,https://weather.com/kalshi,0.09,0.2,0.8,0.91,50.0,5.0,0.0,0.0,2026-09-22T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP21-B96.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-21,between,96.0,97.0,The Weather Company,https://weather.com/kalshi,0.38,0.45,0.55,0.62,6.0,1.0,1.0,0.0,2026-09-22T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP21-B102.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-21,between,102.0,103.0,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,65.24,25.0,22.0,0.0,2026-09-22T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP21-B100.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-21,between,100.0,101.0,The Weather Company,https://weather.com/kalshi,0.03,0.08,0.92,0.97,7.0,10.0,0.0,0.0,2026-09-22T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP20-T96,San Antonio Daily Maximum Temperature,KSAT,2026-09-20,less,,96.0,The Weather Company,https://weather.com/kalshi,0.66,0.71,0.29,0.34,25.0,32.91,2807.24,0.0,2026-09-21T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP20-T103,San Antonio Daily Maximum Temperature,KSAT,2026-09-20,greater,103.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,2242.05,0.0,145.0,0.0,2026-09-21T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP20-B98.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-20,between,98.0,99.0,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,16.0,351.7,1022.58,0.0,2026-09-21T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP20-B96.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-20,between,96.0,97.0,The Weather Company,https://weather.com/kalshi,0.28,0.35,0.65,0.72,47.36,24.0,1130.48,0.0,2026-09-21T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP20-B102.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-20,between,102.0,103.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,1574.23,0.0,215.33,0.0,2026-09-21T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXHIGHTSATX,KXHIGHTSATX-26SEP20-B100.5,San Antonio Daily Maximum Temperature,KSAT,2026-09-20,between,100.0,101.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,1421.29,0.0,239.4,0.0,2026-09-21T06:00:00Z,active,2026-09-20T14:42:07.740813+00:00
KXLOWTPHIL,KXLOWTPHIL-26SEP21-T64,Lowest temperature in Philadelphia,KPHL,2026-09-21,greater,64.0,,The Weather Company,https://weather.com/kalshi,0.26,0.33,0.67,0.74,29.0,56.0,11.0,0.0,2026-09-22T05:00:00Z,active,2026-09-20T14:42:07.740813+00:00
