platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,resolved_stat_key,model_status,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118042,334612412.0,0QA334612412#2151925101_13L88808Q1-1063669179Q20,Rhamondre Stevenson,,NFL,2+ TDs,player_touchdown,,700.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.6428571428571429,1.7499999999999998,14.0,,1.1964285714285714,,0.3360815191131882,,0.125,,True,0.21108151911318818,
draftkings,34118042,334612412.0,0QA334612412#2151924484_13L88808Q1627777345Q20,Jadarian Price,,NFL,2+ TDs,player_touchdown,,850.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334612412.0,0QA334612412#2151924295_13L88808Q1491696445Q20,Jaxon Smith-Njigba,,NFL,2+ TDs,player_touchdown,,1000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.5882352941176471,0.36,17.0,,0.47411764705882353,,0.08245902591483362,,0.09090909090909091,,True,-0.008450064994257295,
draftkings,34118042,334612412.0,0QA334612412#2169981617_13L88808Q11605556466Q20,A.J. Brown,,NFL,2+ TDs,player_touchdown,,1300.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.4666666666666667,0.36,15.0,,0.41333333333333333,,0.0651623047762474,,0.07142857142857142,,True,-0.006266266652324021,
draftkings,34118042,334612412.0,0QA334612412#2151924782_13L88808Q1-155115197Q20,George Holani,,NFL,2+ TDs,player_touchdown,,1400.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.1,0.25,10.0,,0.175,,0.013638000596181366,,0.06666666666666667,,True,-0.0530286660704853,
draftkings,34118042,334612412.0,0QA334612412#2151924643_13L88808Q1-1758481335Q20,Cooper Kupp,,NFL,2+ TDs,player_touchdown,,2200.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.125,0.08,16.0,,0.10250000000000001,,0.004907589897399506,,0.043478260869565216,,True,-0.03857067097216571,
draftkings,34118042,334612412.0,0QA334612412#2151924548_13L88808Q1-1777293312Q20,A.J. Barner,,NFL,2+ TDs,player_touchdown,,2200.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334612412.0,0QA334612412#2151925232_13L88808Q11740203848Q20,Hunter Henry,,NFL,2+ TDs,player_touchdown,,2800.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.4117647058823529,0.45,17.0,,0.4308823529411765,,0.0700189495710945,,0.034482758620689655,,True,0.03553619095040485,
draftkings,34118042,334612412.0,0QA334612412#2151925197_13L88808Q1652552487Q20,Romeo Doubs,,NFL,2+ TDs,player_touchdown,,2800.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.375,0.33,16.0,,0.35250000000000004,,0.04928910933100367,,0.034482758620689655,,True,0.014806350710314012,
draftkings,34118042,334612412.0,0QA334612412#2151924713_13L88808Q1153409926Q20,Rashid Shaheed,,NFL,2+ TDs,player_touchdown,,3500.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.1111111111111111,0.0,18.0,,0.05555555555555555,,0.0014872272650809579,,0.027777777777777776,,True,-0.02629055051269682,
draftkings,34118042,334612412.0,0QA334612412#2151925331_13L88808Q11724982079Q20,Drake Maye,,NFL,2+ TDs,player_touchdown,,5000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,2.0588235294117645,2.4000000000000004,17.0,,2.2294117647058824,,0.6525420957786652,,0.0196078431372549,,True,0.6329342526414102,
draftkings,34118042,334612412.0,0QA334612412#2151924395_13L88808Q1-1357951342Q20,Emanuel Wilson,,NFL,2+ TDs,player_touchdown,,5000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.17647058823529413,0.0,17.0,,0.08823529411764706,,0.003671150877198631,,0.0196078431372549,,True,-0.01593669226005627,
draftkings,34118042,334612412.0,0QA334612412#2151925582_14L88808Q1-38248061Q20,,NE Patriots D/ST,NFL,2+ TDs,player_touchdown,,5500.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334612412.0,0QA334612412#2151925549_13L88808Q1-882075231Q20,,SEA Seahawks D/ST,NFL,2+ TDs,player_touchdown,,6000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334612412.0,0QA334612412#2265020961_13L88808Q1-1896860447Q20,Corey Kiner,,NFL,2+ TDs,player_touchdown,,8000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,4.0,,0.0,,4.999838054850042e-13,,0.012345679012345678,,True,-0.012345679011845695,
draftkings,34118042,334612412.0,0QA334612412#2151925483_13L88808Q1573901773Q20,Demario Douglas,,NFL,2+ TDs,player_touchdown,,8000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.1875,0.0,16.0,,0.09375,,0.00412929224058764,,0.012345679012345678,,True,-0.008216386771758039,
draftkings,34118042,334612412.0,0QA334612412#2151924960_13L88808Q12143586947Q20,Elijah Arroyo,,NFL,2+ TDs,player_touchdown,,9000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.07692307692307693,0.0,13.0,,0.038461538461538464,,0.0007209504689251883,,0.01098901098901099,,True,-0.010268060520085802,
draftkings,34118042,334612412.0,0QA334612412#2233956191_13L88808Q11556454751Q20,Tory Horton,,NFL,2+ TDs,player_touchdown,,9000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.625,0.82,8.0,,0.7224999999999999,,0.1636626980970981,,0.01098901098901099,,True,0.15267368710808712,
draftkings,34118042,334612412.0,0QA334612412#2151925445_13L88808Q1-389849513Q20,Kyle Williams,,NFL,2+ TDs,player_touchdown,,13000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.21428571428571427,0.28,14.0,,0.24714285714285716,,0.025945124275067122,,0.007633587786259542,,True,0.01831153648880758,
draftkings,34118042,334612412.0,0QA334612412#2151924870_13L88808Q11096856495Q20,Sam Darnold,,NFL,2+ TDs,player_touchdown,,13000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,1.4705882352941178,0.89,17.0,,1.180294117647059,,0.33023899125367157,,0.007633587786259542,,True,0.322605403467412,
draftkings,34118042,334612412.0,0QA334612412#2151925399_13L88808Q1-1861138499Q20,Mack Hollins,,NFL,2+ TDs,player_touchdown,,15000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.14285714285714285,0.0,14.0,,0.07142857142857142,,0.0024327360314042173,,0.006622516556291391,,True,-0.004189780524887173,
