platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,model_status,resolved_stat_key,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118096,334310190,0QA334310190#2151981792_13L88808Q1-918826434Q20,Javonte Williams,,NFL,First TD Scorer,player_touchdown,,450.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2152003849_13L88808Q11749222883Q20,Cameron Skattebo,,NFL,First TD Scorer,player_touchdown,,650.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151981903_13L88808Q11556652553Q20,CeeDee Lamb,,NFL,First TD Scorer,player_touchdown,,850.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151982008_13L88808Q11560353419Q20,George Pickens,,NFL,First TD Scorer,player_touchdown,,900.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151980661_13L88808Q1-1681173941Q20,Jaxson Dart,,NFL,First TD Scorer,player_touchdown,,1200.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2251290108_13L88808Q11853588220Q20,Malik Nabers,,NFL,First TD Scorer,player_touchdown,,1200.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151982044_13L88808Q1785855342Q20,Jake Ferguson,,NFL,First TD Scorer,player_touchdown,,1500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2250816573_13L88808Q1-994862650Q20,Najee Harris,,NFL,First TD Scorer,player_touchdown,,1700.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151980834_13L88808Q11060307296Q20,Tyrone Tracy Jr.,,NFL,First TD Scorer,player_touchdown,,2000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151980933_13L88808Q1484820332Q20,Isaiah Likely,,NFL,First TD Scorer,player_touchdown,,2000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
